candidate_id,lon,lat,depth_mllw,town,approval_probability,town_logit_prior,access_score,d_access_m,homes_500m,homes_1000m,mean_land_value,distance_to_shore,dist_lease_cluster,log_mean_land_value,log_distance_to_shore,log_dist_lease_cluster
20932,-69.85397090241783,43.82491627071464,0.77569,Phippsburg,0.9870569605964831,-0.3867350938948978,0.8434641507041332,255.3568178196557,33,113,243705.30973451328,140.30237576525985,4446.444473613606,12.40371913067949,4.950902103174469,8.400084934608453
24658,-70.02241342557011,43.85729726993535,1.64729,Brunswick,0.9462978729504629,-0.0332256476283207,0.2622942316418148,2007.432575706549,5,30,60490.0,81.07756965582138,397.8349115344919,11.010249872622438,4.407664771527724,5.9885475757167645
32921,-69.31986188180443,43.94695807662409,0.75992,Cushing,0.9434039008236983,-0.9736958196190448,0.16752963653679553,2679.892513230081,8,14,41500.0,140.29694589539227,372.44692702782606,10.633472802314019,4.9508636751284545,5.9227758981651935
19649,-70.10244990460689,43.81153461290615,2.33785,Yarmouth,0.9420877015246618,0.4139163699808266,0.4920526213072799,1063.7544214986028,0,0,0.0,17.916490143088463,155.4988155450986,0.0,2.9400340360069617,5.053048441549642
23404,-69.99112409974383,43.846318331860466,0.76799,Brunswick,0.9297516405170648,-0.0332256476283207,0.35801093720444543,1540.787613296547,6,45,134364.44444444444,191.3746563126948,722.9305711992555,11.808318564224438,5.259444805608752,6.584695491653763
19401,-70.09930080357348,43.80931401547087,0.24612,Yarmouth,0.9245265388233881,0.4139163699808266,0.3986625370077928,1379.4599878041392,0,0,0.0,13.657726518567486,293.2210288133672,0.0,2.6849676038434196,5.684331283564532
23405,-69.96002657999004,43.84658381912367,2.83074,Harpswell,0.9233390214866192,-0.3942673911186938,0.5271782937497661,960.3247040201373,21,60,241556.66666666666,109.6352369604987,432.14238182635245,12.394863508939295,4.706238636542797,6.071066500339747
75495,-68.48368152239017,44.44816693606593,0.11755,Surry,0.9191082275245487,-1.3229701692147215,0.049448801733590064,4510.2261796288185,8,59,180694.91525423728,32.732486412283784,154.662627795472,12.104570871201618,3.518461361514862,5.047691023024828
14855,-69.87164135082162,43.7572543988822,1.50762,Phippsburg,0.9139975048838251,-0.3867350938948978,0.2077765443728099,2356.9381239914783,2,35,319602.85714285716,411.81263694254136,3166.959675463831,12.67483756145868,6.0229938264471965,8.060843024148706
22404,-69.98475652832977,43.83736967866445,0.21166,Harpswell,0.9134899118595687,-0.3942673911186938,0.29514065773363923,1830.454845602064,1,5,201760.0,165.0986501875801,662.5364759674213,12.214839107570286,5.112581890081594,6.497583827343963
41676,-69.1269116133186,44.04412307286687,0.55959,Thomaston,0.9102339716880778,-0.7688772130855354,0.5869153994152869,799.3118897918059,0,0,0.0,107.10986509300679,557.7958867761296,0.0,4.683147979436052,6.325784266539913
18247,-70.00587877025905,43.798919818760346,0.09593,Harpswell,0.9043827139550916,-0.3942673911186938,0.6068976455763645,749.0926883607692,0,28,223300.0,529.4581514380275,1949.31516898832,12.316275916098562,6.273741069811486,7.575746263620075
23154,-70.00663484823573,43.843931824851246,0.73243,Brunswick,0.8979215893524689,-0.0332256476283207,0.2746965354389688,1938.132447184373,19,58,131658.62068965516,107.64349577132661,1316.4480537270335,11.787975240033782,4.68807184086382,7.183451851727047
24664,-69.90110958776339,43.85831821963658,0.06455,Harpswell,0.8940651791546342,-0.3942673911186938,0.40347260121180384,1361.4700445976644,28,118,173122.0338983051,175.73278129334702,636.377946928713,12.061757799315167,5.174638881606006,6.457362802904483
24912,-69.94780131652224,43.86019140671968,1.66808,Brunswick,0.8877374057033507,-0.0332256476283207,0.8786962997384751,193.9739213291061,14,56,77180.35714285714,96.35852701137456,1632.834227399054,11.253913219063172,4.578400319265055,7.398684818253181
24660,-69.95398640300405,43.85788901810767,0.80483,Harpswell,0.8778649051079404,-0.3942673911186938,0.6685101748716406,604.0554931571236,4,52,107933.65384615384,183.31547539107999,1108.050767074723,11.589281266005456,5.216648829631794,7.011259763646821
21182,-69.94415819896756,43.82645766773811,1.47457,Harpswell,0.8732044540545078,-0.3942673911186938,0.5735329205247229,833.9099118407935,30,86,175925.58139534883,25.620168149527714,342.7324255371923,12.077822035825747,3.2816691296084626,5.8398635219638315
20904,-70.05292200421131,43.823256356433276,0.35944,Brunswick,0.8670679853271557,-0.0332256476283207,0.2750762779036173,1936.0602683725558,0,0,0.0,114.80655840909404,1883.1564823442532,0.0,4.751921199192273,7.541235510256273
21677,-69.85717626826,43.8316450768453,1.03563,West Bath,0.8443184331203173,-0.3487038540443718,0.4982482087042433,1044.9853726054803,12,132,291844.69696969696,81.06047218721181,4427.953317145384,12.583980506544135,4.407456441167748,8.395918563597924
24911,-69.95091180585743,43.8601655650492,1.02876,Harpswell,0.8439456910164405,-0.3942673911186938,0.7674119595281826,397.0972752195411,4,59,89508.47457627118,162.45521944313833,1460.023750612511,11.402099759847435,5.096539065625429,7.286892668026855
24910,-69.95402229103907,43.86013963873047,1.23716,Brunswick,0.8383897425069696,-0.0332256476283207,0.6550248302083405,634.623203025568,4,54,101463.88888888889,1.8856177151246527,1312.3227844332482,11.52746809534211,1.059738989736065,7.180315681434187
24418,-69.8948550482249,43.85611644680788,0.3838,Harpswell,0.8383486191222619,-0.3942673911186938,0.27883093692847194,1915.7244624886284,27,120,206813.33333333334,163.7112256429766,992.7452261935674,12.239576729337077,5.104193792984654,6.901480862126631
58138,-68.81115854392871,44.22635421049901,0.00851,Deer Isle,0.8295218648075119,-2.608210480151823,0.00036994657863409996,11853.227917230148,0,0,0.0,385.77541667345895,413.03966711033013,0.0,5.957844205906495,6.02596178351158
21430,-69.94419367839349,43.82870830719472,1.54466,Harpswell,0.8167391256635951,-0.3942673911186938,0.506994028663826,1018.8840798655397,19,74,168550.0,32.60286471725828,242.10011029734898,12.034993653602186,3.5146113227769895,5.493473335033817
37958,-69.08004317695107,43.99914814325078,2.31692,Thomaston,0.8104228446648957,-0.7688772130855354,0.010628665439250697,6816.300961720095,0,0,0.0,792.1658184944918,628.3572276621882,0.0,6.67603230254324,6.444699025000144
60067,-68.96452170037723,44.24901261794871,0.39018,Camden,0.8077466208521961,-0.7033030471770596,0.06627960189646226,4070.8096392479133,0,0,0.0,36.40625616885874,3924.803070259731,0.0,3.6218379676734207,8.275326213175818
19650,-70.06826365591562,43.81185930473036,1.13839,Harpswell,0.8072957414192693,-0.3942673911186938,0.26963490123080197,1966.0296790781606,0,0,0.0,115.77216222204792,1103.8212828294725,0.0,4.7602247048473165,7.007438865875386
33981,-69.34486305256048,43.960390723334456,0.02603,Cushing,0.8054366714947162,-0.9736958196190448,0.3055610082931622,1778.4087307408336,0,0,0.0,147.83774172511676,715.7942506327262,0.0,5.002856730863431,6.57478884074787
13388,-70.04210989483924,43.737819453796675,0.65089,Harpswell,0.7995043622638949,-0.3942673911186938,0.8617103367864899,223.25415150274742,9,24,318604.1666666667,30.75173066892667,4347.122792229936,12.671707893108348,3.4579472331106578,8.37749948892557
17640,-70.00265860012657,43.79219528750022,0.42553,Harpswell,0.7977820799636978,-0.3942673911186938,0.9244007707876678,117.91435013615175,5,56,235601.7857142857,30.038511284599245,2437.218187450041,12.369902554604293,3.4352287329728086,7.799022800479011
22159,-69.93808171387073,43.83551143616707,0.11643,Brunswick,0.7957584945331703,-0.0332256476283207,0.2781633912409959,1919.3198994975476,0,15,135173.33333333334,77.04892561136815,1044.6199100685674,11.814320582359615,4.357335881477436,6.952365203892843
15741,-70.02398423692746,43.767245757911844,5.7999,Harpswell,0.7944724901068952,-0.3942673911186938,0.2665390135955934,1983.351980417695,7,61,238916.39344262294,51.32377929612883,3885.4768019251583,12.383873137037119,3.9574509387934023,8.265258319766614
15936,-69.92463751225638,43.77034367266924,0.4778,Harpswell,0.7916012507590547,-0.3942673911186938,0.18798506860098288,2507.089112462259,0,0,0.0,336.60572780129246,3531.3693982805,0.0,5.821878728813933,8.169724142404732
27377,-69.55294824312823,43.885293404661844,0.06066,Boothbay Harbor,0.7875081028856762,-0.7480222695157626,0.16557216644324838,2697.5221922865444,0,0,0.0,152.32730310930523,2310.159961821278,0.0,5.032574872493673,7.745504825456314
13918,-70.02049604894924,43.74476738080261,2.57258,Harpswell,0.7869092504233143,-0.3942673911186938,0.6589706565338916,625.6144091005217,6,173,229774.56647398844,21.274027083630674,6169.34972027721,12.344858313565403,3.103421294900432,8.727510796051197
35621,-69.15482050917694,43.97656247240525,2.09501,Cushing,0.7865690455667292,-0.9736958196190448,0.04945460392439437,4510.0501839457875,0,0,0.0,934.0201137458582,468.9642165223884,0.0,6.840568041084962,6.152656556746935
12323,-69.85563424431682,43.72361082958852,2.67822,Phippsburg,0.7862098175495875,-0.3867350938948978,0.23630927344042366,2163.920776810679,0,7,477942.85714285716,59.98214934608905,726.1510152667569,13.07724855089934,4.110581187677052,6.589134179850149
23657,-70.00049089253076,43.848487629916356,1.39339,Brunswick,0.7768171517573844,-0.0332256476283207,0.23360850070778058,2181.1629580109725,21,56,130503.57142857143,57.46852780769378,1483.1992708787814,11.779163535235341,4.068488623278046,7.302630694280544
56524,-68.95202743494525,44.21074468392485,0.2435,Camden,0.7713973259068361,-0.7033030471770596,0.005964866068599281,7682.803014839328,0,0,0.0,348.9744875349489,679.1570540811681,0.0,5.857860259069365,6.522323733386633
23659,-69.98805152006217,43.84859586380255,0.93855,Brunswick,0.7713690259622508,-0.0332256476283207,0.442454084502797,1223.1278756302186,5,37,143694.5945945946,39.240366324141576,712.0043673561333,11.875452414635419,3.6948706292326907,6.569487545719706
18908,-70.10543317939762,43.804752987742646,0.1464,Yarmouth,0.7643176805696604,0.4139163699808266,0.30500746888120966,1781.1285218091618,0,0,0.0,2.160758580957217,593.9856496695753,0.0,1.150812056054628,6.388537287052387
11845,-69.8493318528575,43.716904907170694,2.43639,Phippsburg,0.7635980307289203,-0.3867350938948978,0.16911687966226321,2665.7478111996356,9,31,462593.5483870968,68.60629864209339,1261.610755522044,13.04460624398694,4.242855060976928,7.140936884447887
38598,-69.36695279125325,44.005339570436576,0.3796,Bremen,0.757927591438863,-1.6438125964936672,0.5208584757786608,978.4153705646835,0,0,0.0,137.97097268888382,1435.7709114902223,0.0,4.934265081746384,7.270153451999331
12931,-69.87128216868473,43.73249650641477,3.93512,Phippsburg,0.7569151668931218,-0.3867350938948978,0.2016851429535347,2401.5712437969923,7,8,137050.0,66.81173480992038,1831.7432794315039,11.82810839831139,4.216735259762107,7.513569183165588
14103,-70.01742972826642,43.747045681235875,0.81341,Harpswell,0.7513353960678617,-0.3942673911186938,0.6129641404050896,734.1732649208086,15,185,197592.43243243243,40.108564981282086,6183.163534395591,12.19396682706558,3.7162164934963973,8.729747034677562
